DATE_KEY,FULL_DATE,YEAR,QUARTER,QUARTER_NAME,MONTH_NUMBER,MONTH_NAME,MONTH_SHORT_NAME,WEEK_OF_YEAR,DAY_OF_MONTH,DAY_OF_WEEK_NUMBER,DAY_NAME,IS_WEEKEND
20000101,2000-01-01,2000,1,Q1,1,January,Jan,52,1,6,1A0,TRUE
20000102,2000-01-02,2000,1,Q1,1,January,Jan,52,2,0,2A0,TRUE
20000103,2000-01-03,2000,1,Q1,1,January,Jan,1,3,1,3A0,FALSE
20000104,2000-01-04,2000,1,Q1,1,January,Jan,1,4,2,4A0,FALSE
20000105,2000-01-05,2000,1,Q1,1,January,Jan,1,5,3,5A0,FALSE
20000106,2000-01-06,2000,1,Q1,1,January,Jan,1,6,4,6A0,FALSE
20000107,2000-01-07,2000,1,Q1,1,January,Jan,1,7,5,7A0,FALSE
20000108,2000-01-08,2000,1,Q1,1,January,Jan,1,8,6,8A0,TRUE
20000109,2000-01-09,2000,1,Q1,1,January,Jan,1,9,0,9A0,TRUE
20000110,2000-01-10,2000,1,Q1,1,January,Jan,2,10,1,10A0,FALSE
20000111,2000-01-11,2000,1,Q1,1,January,Jan,2,11,2,11A0,FALSE
20000112,2000-01-12,2000,1,Q1,1,January,Jan,2,12,3,12A0,FALSE
20000113,2000-01-13,2000,1,Q1,1,January,Jan,2,13,4,13A0,FALSE
20000114,2000-01-14,2000,1,Q1,1,January,Jan,2,14,5,14A0,FALSE
20000115,2000-01-15,2000,1,Q1,1,January,Jan,2,15,6,15A0,TRUE
20000116,2000-01-16,2000,1,Q1,1,January,Jan,2,16,0,16A0,TRUE
20000117,2000-01-17,2000,1,Q1,1,January,Jan,3,17,1,17A0,FALSE
20000118,2000-01-18,2000,1,Q1,1,January,Jan,3,18,2,18A0,FALSE
20000119,2000-01-19,2000,1,Q1,1,January,Jan,3,19,3,19A0,FALSE
20000120,2000-01-20,2000,1,Q1,1,January,Jan,3,20,4,20A0,FALSE
20000121,2000-01-21,2000,1,Q1,1,January,Jan,3,21,5,21A0,FALSE
20000122,2000-01-22,2000,1,Q1,1,January,Jan,3,22,6,22A0,TRUE
20000123,2000-01-23,2000,1,Q1,1,January,Jan,3,23,0,23A0,TRUE
20000124,2000-01-24,2000,1,Q1,1,January,Jan,4,24,1,24A0,FALSE
20000125,2000-01-25,2000,1,Q1,1,January,Jan,4,25,2,25A0,FALSE
20000126,2000-01-26,2000,1,Q1,1,January,Jan,4,26,3,26A0,FALSE
20000127,2000-01-27,2000,1,Q1,1,January,Jan,4,27,4,27A0,FALSE
20000128,2000-01-28,2000,1,Q1,1,January,Jan,4,28,5,28A0,FALSE
20000129,2000-01-29,2000,1,Q1,1,January,Jan,4,29,6,29A0,TRUE
20000130,2000-01-30,2000,1,Q1,1,January,Jan,4,30,0,30A0,TRUE
20000131,2000-01-31,2000,1,Q1,1,January,Jan,5,31,1,31A0,FALSE
20000201,2000-02-01,2000,1,Q1,2,February,Feb,5,1,2,1A0,FALSE
20000202,2000-02-02,2000,1,Q1,2,February,Feb,5,2,3,2A0,FALSE
