TRACK_ID,TRACK_NAME,ALBUM_TITLE,ARTIST_NAME,GENRE_NAME,MEDIA_TYPE_NAME,COMPOSER,SECONDS,BYTES
1,For Those About To Rock (We Salute You),For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",343.72,11170334
2,Balls to the Wall,Balls to the Wall,Accept,Rock,Protected AAC audio file,"U. Dirkschneider, W. Hoffmann, H. Frank, P. Baltes, S. Kaufmann, G. Hoffmann",342.56,5510424
3,Fast As a Shark,Restless and Wild,Accept,Rock,Protected AAC audio file,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230.62,3990994
4,Restless and Wild,Restless and Wild,Accept,Rock,Protected AAC audio file,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252.05,4331779
5,Princess of the Dawn,Restless and Wild,Accept,Rock,Protected AAC audio file,Deaffy & R.A. Smith-Diesel,375.42,6290521
6,Put The Finger On You,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",205.66,6713451
7,Let's Get It Up,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",233.93,7636561
8,Inject The Venom,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",210.83,6852860
9,Snowballed,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",203.10,6599424
10,Evil Walks,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",263.50,8611245
11,C.O.D.,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",199.84,6566314
12,Breaking The Rules,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",263.29,8596840
13,Night Of The Long Knives,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",205.69,6706347
14,Spellbound,For Those About To Rock We Salute You,AC/DC,Rock,MPEG audio file,"Angus Young, Malcolm Young, Brian Johnson",270.86,8817038
